iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ITA,Europe,Italy,2020-02-21,20.0,17.0,2.429,1.0,1.0,0.143,0.331,0.282,0.04,0.017,0.017,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-02-22,62.0,42.0,8.429,2.0,1.0,0.286,1.027,0.696,0.14,0.033,0.017,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-02-23,155.0,93.0,21.714,3.0,1.0,0.429,2.568,1.541,0.36,0.05,0.017,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.35,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,-8888.8,-7.49,-4.77,-147.244863048843
ITA,Europe,Italy,2020-02-24,229.0,74.0,32.286,7.0,4.0,1.0,3.793,1.226,0.535,0.116,0.066,0.017,3.56,26.0,0.431,127.0,2.104,,,,,,4324.0,0.072,,,,,,tests performed,,,,,,,,,,,,,,64.35,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-02-25,322.0,93.0,45.571,10.0,3.0,1.429,5.334,1.541,0.755,0.166,0.05,0.024,3.52,35.0,0.58,150.0,2.485,,,,,4299.0,8623.0,0.143,0.071,,,,,tests performed,,,,,,,,,,,,,,64.35,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-02-26,453.0,131.0,64.286,12.0,2.0,1.714,7.504,2.17,1.065,0.199,0.033,0.028,3.44,36.0,0.596,164.0,2.717,,,1203.0,19.928,964.0,9587.0,0.159,0.016,,,,,tests performed,,,,,,,,,,,,,,64.35,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-02-27,655.0,202.0,93.143,17.0,5.0,2.429,10.85,3.346,1.543,0.282,0.083,0.04,3.37,56.0,0.928,304.0,5.036,,,1428.0,23.655,2427.0,12014.0,0.199,0.04,,,,,tests performed,,,,,,,,,,,,,,64.35,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-02-28,888.0,233.0,124.0,21.0,4.0,2.857,14.71,3.86,2.054,0.348,0.066,0.047,3.25,64.0,1.06,409.0,6.775,,,1684.0,27.896,3681.0,15695.0,0.26,0.061,,,,,tests performed,,,,,,,,,,,,,,64.35,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-02-29,1128.0,240.0,152.286,29.0,8.0,3.857,18.686,3.976,2.523,0.48,0.133,0.064,3.12,105.0,1.739,506.0,8.382,,,1952.0,32.335,2966.0,18661.0,0.309,0.049,,,,,tests performed,,,,,,,,,,,,,,64.35,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-03-01,1694.0,566.0,219.857,34.0,5.0,4.429,28.061,9.376,3.642,0.563,0.083,0.073,3.08,140.0,2.319,779.0,12.904,,,2242.0,37.139,2466.0,21127.0,0.35,0.041,,,,,tests performed,,,,,,,,,,,,,,64.35,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,-9038.9,-6.82,-1.08,-149.731301481886
ITA,Europe,Italy,2020-03-02,2036.0,342.0,258.143,52.0,18.0,6.429,33.727,5.665,4.276,0.861,0.298,0.106,2.85,166.0,2.75,908.0,15.041,,,2720.0,45.057,2218.0,23345.0,0.387,0.037,2717.0,0.045,0.095,10.5,tests performed,,,,,,,,,,,,,,69.91,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-03-03,2502.0,466.0,311.429,79.0,27.0,9.857,41.446,7.719,5.159,1.309,0.447,0.163,2.73,229.0,3.793,1263.0,20.922,,,3269.0,54.152,2511.0,25856.0,0.428,0.042,2462.0,0.041,0.1265,7.9,tests performed,,,,,,,,,,,,,,69.91,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-03-04,3089.0,587.0,376.571,107.0,28.0,13.571,51.17,9.724,6.238,1.772,0.464,0.225,2.61,295.0,4.887,1641.0,27.184,,,3911.0,64.787,3981.0,29837.0,0.494,0.066,2893.0,0.048,0.1302,7.7,tests performed,,,,,,,,,,,,,,72.69,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-03-05,3858.0,769.0,457.571,148.0,41.0,18.714,63.909,12.739,7.58,2.452,0.679,0.31,2.54,351.0,5.814,2141.0,35.466,,,4690.0,77.691,2525.0,32362.0,0.536,0.042,2907.0,0.048,0.1574,6.4,tests performed,,,,,,,,,,,,,,74.54,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-03-06,4636.0,778.0,535.429,197.0,49.0,25.143,76.796,12.888,8.869,3.263,0.812,0.416,2.51,462.0,7.653,2856.0,47.31,,,5538.0,91.738,3997.0,36359.0,0.602,0.066,2952.0,0.049,0.1814,5.5,tests performed,,,,,,,,,,,,,,74.54,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-03-07,5883.0,1247.0,679.286,233.0,36.0,29.143,97.453,20.657,11.253,3.86,0.596,0.483,2.53,567.0,9.392,3218.0,53.307,,,6368.0,105.487,5703.0,42062.0,0.697,0.094,3343.0,0.055,0.2032,4.9,tests performed,,,,,,,,,,,,,,74.54,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-03-08,7375.0,1492.0,811.571,366.0,133.0,47.429,122.168,24.715,13.444,6.063,2.203,0.786,2.46,650.0,10.767,4207.0,69.69,,,7089.0,117.431,7875.0,49937.0,0.827,0.13,4116.0,0.068,0.1972,5.1,tests performed,,,,,,,,,,,,,,74.54,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,-7883.4,-5.4,8.53,-130.590198154897
ITA,Europe,Italy,2020-03-09,9172.0,1797.0,1019.429,463.0,97.0,58.714,151.936,29.768,16.887,7.67,1.607,0.973,2.43,733.0,12.142,5049.0,83.638,,,7879.0,130.517,3889.0,53826.0,0.892,0.064,4354.0,0.072,0.2341,4.3,tests performed,,,,,,,,,,,,,,74.54,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-03-10,10149.0,977.0,1092.429,631.0,168.0,78.857,168.12,16.184,18.096,10.453,2.783,1.306,2.3,877.0,14.528,5915.0,97.983,,,8650.0,143.289,6935.0,60761.0,1.007,0.115,4986.0,0.083,0.2191,4.6,tests performed,,,,,,,,,,,,,,79.63,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
ITA,Europe,Italy,2020-03-11,12462.0,2313.0,1339.0,827.0,196.0,102.857,206.436,38.315,22.181,13.699,3.247,1.704,2.3,1028.0,17.029,6866.0,113.737,,,9491.0,157.22,12393.0,73154.0,1.212,0.205,6188.0,0.103,0.2164,4.6,tests performed,,,,,,,,,,,,,,82.41,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
